Location,distance_f,distance_u,seed1,Year.1,team_fav,power_fav,seed2,team_under,power_under,win_home,W-L%_f,SRS_f,SOS_f,w-l%_pct_conf_f,PTS/G_f,PTSopp/G_,FG/G_f,FGA/G_f,FG%_f,3P/G_f,3PA/G_f,3P%_f,FT/G_f,FTA/G_f,ORB/G_f,TRB/G_f,AST/G_f,STL/G_f,BLK/G_f,TOV/G_f,PF/G_f,W-L%_u,SRS_u,SOS_u,w-l%_pct_conf_u,PTS/G_u,PTSopp/G_u,FG/G_u,FGA/G_u,FG%_u,3P/G_u,3PA/G_u,3P%_u,FT/G_u,FTA/G_u,ORB/G_u,TRB/G_u,AST/G_u,STL/G_u,BLK/G_u,TOV/G_u,PF/G_u
"Charlotte, NC",0,0,1,2018,Virginia,1,16,UMBC,0,0,0.939,23.84,9.69,0.944444444,67.54545455,53.39393939,25,54.18181818,0.461,7.363636364,18.87878788,0.39,10.18181818,13.42424242,8.393939394,32.63636364,13.72727273,6.787878788,3.727272727,8.575757576,14.06060606,0.706,-3.47,-4.99,0.75,73.91176471,69.47058824,26.05882353,58.61764706,0.445,10.17647059,26.29411765,0.387,11.61764706,17.91176471,9.941176471,34.82352941,15.44117647,7.529411765,2.5,12.08823529,16.52941176
Nashville,0,2,1,2018,Xavier,1,16,Texas Southern,0,1,0.848,19.63,9.84,0.833333333,84.27272727,74.48484848,28.87878788,58.84848485,0.491,7.818181818,21.18181818,0.369,18.6969697,23.66666667,9.757575758,38.39393939,16.63636364,5.848484848,2.939393939,12.42424242,16.90909091,0.441,-7.93,-5.84,0.666666667,77.64705882,79.73529412,25.82352941,58.5,0.441,7.823529412,21.52941176,0.363,18.17647059,25.29411765,10.29411765,36.14705882,12.26470588,5.588235294,3.911764706,12.58823529,17.61764706
"Pittsburgh, PA",0,0,1,2018,Villanova,1,16,Radford,0,1,0.647,-2.8,-4.86,0.666666667,67.35294118,64.35294118,23.58823529,55.35294118,0.426,7.735294118,22.11764706,0.35,12.44117647,17.20588235,11.52941176,34.55882353,12.20588235,6.294117647,2.941176471,12.14705882,16.35294118,0.647,-2.8,-4.86,0.666666667,67.35294118,64.35294118,23.58823529,55.35294118,0.426,7.735294118,22.11764706,0.35,12.44117647,17.20588235,11.52941176,34.55882353,12.20588235,6.294117647,2.941176471,12.14705882,16.35294118
Wichita,0,2,1,2018,Kansas,1,16,Penn,0,1,0.794,22.01,11.45,0.722222222,81.5,70.94117647,30.11764706,60.52941176,0.498,10.14705882,25.20588235,0.403,11.11764706,15.85294118,9.558823529,35.20588235,17,6.617647059,4.176470588,11.67647059,15.26470588,0.75,2.25,-3.84,0.857142857,76.4375,68.6875,27.21875,59.15625,0.46,8.75,25.0625,0.349,13.25,19.90625,8.6875,37.71875,15.375,5.9375,2.78125,11.84375,17.28125
Nashville,0,1,1,2018,Xavier,1,16,North Carolina Central,0,1,0.848,19.63,9.84,0.833333333,84.27272727,74.48484848,28.87878788,58.84848485,0.491,7.818181818,21.18181818,0.369,18.6969697,23.66666667,9.757575758,38.39393939,16.63636364,5.848484848,2.939393939,12.42424242,16.90909091,0.559,-12.62,-12.3,0.5625,72.76470588,69.44117647,27.29411765,58.55882353,0.466,6.235294118,18.41176471,0.339,11.94117647,17.38235294,11.55882353,38.02941176,15.73529412,5.117647059,3.382352941,14.11764706,18.58823529
"Pittsburgh, PA",0,1,1,2018,Villanova,1,16,Long Island University,0,1,0.882,25.69,9.51,0.777777778,87.05882353,70.88235294,31.02941176,61.52941176,0.504,11.41176471,28.67647059,0.398,13.58823529,17.61764706,9.382352941,35.52941176,16.67647059,6.676470588,3.970588235,10.35294118,15.85294118,0.529,-8.07,-7.95,0.555555556,77.5,76.55882353,26.94117647,58.97058824,0.457,8,23.20588235,0.345,15.61764706,22.44117647,10.67647059,38.08823529,12.61764706,5.617647059,3.264705882,14.14705882,19.64705882
"Charlotte, NC",0,1,1,2018,Virginia,1,8,Creighton,1,0,0.939,23.84,9.69,0.944444444,67.54545455,53.39393939,25,54.18181818,0.461,7.363636364,18.87878788,0.39,10.18181818,13.42424242,8.393939394,32.63636364,13.72727273,6.787878788,3.727272727,8.575757576,14.06060606,0.667,13.44,8.95,0.555555556,72.36363636,67.87878788,25.87878788,54.81818182,0.472,6.939393939,20.15151515,0.344,13.66666667,18.42424242,8.151515152,30.60606061,14.33333333,7.757575758,3,11.48484848,18.39393939
"Charlotte, NC",0,2,1,2018,Virginia,1,9,Kansas St.,1,1,0.939,23.84,9.69,0.944444444,67.54545455,53.39393939,25,54.18181818,0.461,7.363636364,18.87878788,0.39,10.18181818,13.42424242,8.393939394,32.63636364,13.72727273,6.787878788,3.727272727,8.575757576,14.06060606,0.706,17.6,11.16,0.555555556,76.73529412,70.29411765,27.05882353,57.58823529,0.47,5.441176471,15.08823529,0.361,17.17647059,24.64705882,12.08823529,38.67647059,13.38235294,5.617647059,4.882352941,13,18.88235294
Boise,0,0,1,2018,Michigan,1,1,Oakland,0,1,0.8,18.9,8.78,0.722222222,74.45714286,63.54285714,26.94285714,57.22857143,0.471,9.142857143,24.8,0.369,11.42857143,17.34285714,8.571428571,33.34285714,14.8,6.257142857,3.171428571,9.142857143,15.57142857,0.576,-1.84,-3.78,0.555555556,78.18181818,76.24242424,26.78787879,59.57575758,0.45,8.333333333,23.6969697,0.352,16.27272727,21.12121212,9.878787879,36.42424242,16.75757576,6.060606061,5,13.15151515,16.36363636
"Charlotte, NC",0,0,2,2018,North Carolina,1,15,Lipscomb ,0,1,0.714,21.29,12.44,0.611111111,81.97142857,73.11428571,29.94285714,65.11428571,0.46,8.285714286,22.74285714,0.364,13.8,18.62857143,14.05714286,42.48571429,18.2,5.628571429,4.2,12.05714286,15.71428571,0.719,-2.03,-4.41,0.714285714,82.5625,77.5,28.15625,61.75,0.456,8.125,24.53125,0.331,18.125,25.34375,10.625,38.96875,15.71875,6.46875,3.125,15,19.9375
